total sulfur dioxide,sulphates,fixed acidity,chlorides,volatile acidity
164.0,0.5,6.0,0.046,0.34
192.0,0.44,7.4,0.06,0.25
162.0,0.41,7.1,0.054,0.12
164.0,0.39,6.0,0.05,0.21
170.0,0.46,7.5,0.059,0.305
192.0,0.44,7.4,0.06,0.25
109.0,0.35,7.3,0.051,0.13
162.0,0.41,7.1,0.054,0.12
171.0,0.59,7.1,0.04,0.23
171.0,0.59,7.1,0.04,0.23
187.0,0.6,6.9,0.051,0.33
163.0,0.39,6.5,0.082,0.17
255.0,0.52,7.2,0.052,0.27
195.0,0.47,7.2,0.056,0.31
150.0,0.51,6.7,0.049,0.41
150.0,0.51,6.7,0.049,0.41
103.0,0.4,5.5,0.065,0.485
143.0,0.44,6.0,0.041,0.31
85.0,0.42,7.0,0.035,0.14
195.0,0.47,7.2,0.056,0.31
196.0,0.5,7.3,0.06,0.32
87.0,0.51,5.9,0.046,0.36
138.0,0.54,7.8,0.054,0.24
131.0,0.34,7.4,0.059,0.16
146.0,0.36,6.9,0.058,0.19
158.0,0.36,6.4,0.092,0.13
143.0,0.48,6.7,0.026,0.19
126.0,0.42,7.4,0.033,0.39
203.0,0.54,6.5,0.038,0.24
179.0,0.57,6.1,0.044,0.3
184.0,0.57,6.1,0.046,0.3
57.0,0.37,5.7,0.02,0.26
203.0,0.54,6.5,0.038,0.24
241.0,0.57,6.5,0.038,0.425
188.0,0.51,6.6,0.035,0.24
203.0,0.52,6.8,0.034,0.27
179.0,0.56,6.7,0.036,0.27
121.0,0.38,8.2,0.027,0.23
155.0,0.44,7.1,0.045,0.37
96.0,0.54,6.8,0.035,0.19
77.0,0.43,6.3,0.045,0.31
155.0,0.44,7.1,0.045,0.37
107.0,0.54,7.9,0.039,0.21
99.0,0.53,8.5,0.036,0.21
87.0,0.54,8.1,0.037,0.2
114.0,0.39,6.3,0.04,0.255
168.0,0.37,5.6,0.044,0.16
97.0,0.36,6.4,0.058,0.595
80.0,0.58,6.3,0.034,0.34
116.0,0.38,6.9,0.054,0.25
152.0,0.32,7.9,0.043,0.22
135.0,0.43,7.6,0.055,0.18
116.0,0.38,6.9,0.054,0.25
97.0,0.45,7.2,0.048,0.18
76.0,0.84,8.2,0.049,0.23
198.0,0.42,7.4,0.066,0.24
198.0,0.42,7.4,0.066,0.24
124.0,0.42,6.1,0.036,0.32
119.0,0.33,5.2,0.036,0.44
119.0,0.33,5.2,0.036,0.44
124.0,0.42,6.1,0.036,0.32
159.0,0.4,6.4,0.055,0.22
85.0,0.39,6.3,0.049,0.36
198.0,0.42,7.4,0.066,0.24
205.0,0.5,6.7,0.05,0.24
177.0,0.49,7.0,0.051,0.23
197.0,0.59,8.4,0.048,0.27
98.0,0.44,6.7,0.034,0.46
151.0,0.54,7.5,0.055,0.29
110.0,0.29,9.8,0.034,0.42
133.0,0.54,7.1,0.066,0.3
96.0,0.39,7.9,0.045,0.19
100.0,0.39,7.6,0.037,0.48
130.0,0.33,6.3,0.038,0.22
151.0,0.27,6.9,0.04,0.23
65.0,0.41,7.2,0.044,0.32
170.0,0.39,5.9,0.054,0.23
108.0,0.35,6.0,0.06,0.67
176.0,0.68,6.4,0.049,0.25
173.0,0.66,6.4,0.048,0.33
183.0,0.43,7.1,0.053,0.34
167.0,0.5,6.8,0.048,0.28
227.0,0.58,6.9,0.05,0.27
226.0,0.63,6.8,0.043,0.26
230.0,0.63,6.8,0.043,0.29
166.0,0.61,6.7,0.04,0.24
119.0,0.5,5.9,0.038,0.3
109.0,0.57,6.8,0.034,0.53
210.0,0.54,6.5,0.047,0.28
211.0,0.55,6.6,0.052,0.28
167.0,0.5,6.8,0.048,0.28
123.0,0.37,6.8,0.045,0.28
125.0,0.42,6.6,0.055,0.15
181.0,0.41,6.4,0.2,0.29
180.0,0.39,6.4,0.197,0.3
183.0,0.38,6.4,0.197,0.29
214.0,0.47,6.8,0.052,0.26
204.0,0.49,7.1,0.05,0.32
214.0,0.47,6.8,0.052,0.26
196.0,0.5,6.8,0.049,0.27
204.0,0.49,7.1,0.05,0.32
236.0,0.5,6.9,0.05,0.54
134.0,0.53,6.8,0.034,0.26
114.0,0.5,5.8,0.053,0.28
153.0,0.43,6.4,0.042,0.21
126.0,0.34,7.0,0.045,0.16
124.0,0.51,10.2,0.049,0.44
77.0,0.74,6.8,0.04,0.57
170.0,0.77,6.1,0.048,0.4
68.0,0.34,5.6,0.032,0.245
111.0,0.59,6.8,0.038,0.18
126.0,0.34,7.0,0.045,0.16
122.0,0.37,6.7,0.051,0.13
105.0,0.44,6.2,0.03,0.25
152.0,0.38,5.8,0.044,0.26
164.0,0.33,7.5,0.036,0.27
152.0,0.38,5.8,0.044,0.26
167.0,0.44,5.7,0.044,0.28
161.0,0.32,7.5,0.036,0.23
164.0,0.33,7.5,0.036,0.27
172.0,0.55,7.2,0.07,0.685
105.0,0.44,6.2,0.03,0.25
144.0,0.39,6.5,0.043,0.19
145.0,0.39,7.1,0.046,0.24
200.0,0.5,6.4,0.048,0.17
272.0,0.52,7.1,0.041,0.25
200.0,0.5,6.4,0.048,0.17
145.0,0.39,7.1,0.046,0.24
142.0,0.46,6.8,0.062,0.64
194.0,0.51,8.3,0.041,0.28
208.0,0.51,8.2,0.039,0.27
194.0,0.44,7.2,0.058,0.23
194.0,0.44,7.2,0.058,0.23
194.0,0.44,7.2,0.058,0.23
194.0,0.44,7.2,0.058,0.23
221.0,0.5,6.8,0.044,0.52
120.0,0.41,7.0,0.037,0.26
159.0,0.64,6.2,0.039,0.25
197.0,0.46,7.3,0.05,0.32
90.0,0.5,7.7,0.031,0.31
100.0,0.38,7.1,0.026,0.21
218.5,0.58,6.8,0.047,0.24
142.0,0.46,6.9,0.043,0.4
249.5,0.79,6.1,0.038,0.18
139.0,0.61,6.8,0.03,0.21
77.0,0.36,5.8,0.031,0.2
76.0,0.37,5.6,0.03,0.19
199.0,0.7,5.9,0.053,0.21
197.0,0.5,8.5,0.074,0.26
142.0,0.46,6.9,0.043,0.4
109.0,0.43,5.8,0.029,0.24
158.0,0.52,5.8,0.054,0.24
147.0,0.58,6.7,0.04,0.26
97.0,0.41,6.3,0.035,0.35
97.0,0.41,6.3,0.035,0.35
118.0,0.5,6.4,0.032,0.23
75.0,0.34,5.8,0.037,0.36
108.0,0.42,6.9,0.048,0.115
156.0,0.47,6.9,0.043,0.29
95.0,0.33,6.9,0.036,0.28
231.0,0.59,7.2,0.045,0.29
167.0,0.48,6.2,0.038,0.24
156.0,0.47,6.9,0.043,0.29
180.0,0.51,6.9,0.053,0.32
147.0,0.57,5.4,0.045,0.59
180.0,0.51,6.9,0.053,0.32
147.0,0.58,5.2,0.044,0.6
148.0,0.38,5.8,0.051,0.25
123.0,0.38,6.6,0.057,0.58
234.0,0.61,7.0,0.046,0.29
169.0,0.57,6.6,0.046,0.19
166.0,0.58,6.7,0.044,0.2
60.0,0.5,7.7,0.042,0.26
67.0,0.47,6.8,0.044,0.32
105.0,0.68,7.0,0.036,0.3
112.0,0.38,7.0,0.034,0.24
114.0,0.6,6.1,0.039,0.31
201.0,0.65,6.8,0.047,0.44
196.0,0.49,6.7,0.054,0.34
198.0,0.49,7.1,0.055,0.35
180.0,0.47,7.3,0.056,0.32
190.0,0.51,6.5,0.053,0.28
192.0,0.48,7.2,0.058,0.23
192.0,0.48,7.2,0.058,0.23
192.0,0.48,7.2,0.058,0.23
192.0,0.48,7.2,0.058,0.23
155.0,0.46,5.9,0.041,0.15
195.0,0.44,7.4,0.066,0.28
157.0,0.64,6.2,0.041,0.28
182.0,0.38,9.1,0.066,0.59
175.0,0.54,6.3,0.046,0.33
169.0,0.57,8.3,0.045,0.39
187.0,0.6,7.2,0.041,0.19
146.0,0.45,7.5,0.046,0.17
122.0,0.45,6.7,0.043,0.17
87.0,0.67,6.1,0.063,0.41
74.0,0.38,8.3,0.05,0.2
87.0,0.67,6.1,0.063,0.41
168.0,0.43,6.0,0.055,0.29
163.0,0.41,7.3,0.057,0.41
163.0,0.41,7.3,0.057,0.41
163.0,0.41,7.2,0.058,0.43
166.0,0.41,7.3,0.058,0.4
134.0,0.42,6.2,0.036,0.33
148.0,0.41,6.2,0.037,0.31
100.0,0.71,6.1,0.035,0.36
164.0,0.51,5.0,0.032,0.55
149.0,0.45,7.8,0.042,0.25
166.0,0.63,5.7,0.038,0.36
167.0,0.62,5.8,0.04,0.34
127.0,0.44,6.8,0.132,0.28
134.0,0.38,6.8,0.031,0.25
135.0,0.37,6.6,0.031,0.24
133.0,0.43,5.9,0.03,0.3
69.0,0.59,6.1,0.04,0.125
65.0,0.61,6.0,0.041,0.1
135.0,0.37,6.6,0.031,0.24
134.0,0.38,6.8,0.031,0.25
137.0,0.36,6.8,0.031,0.28
207.0,0.55,8.3,0.046,0.41
313.0,0.59,7.5,0.057,0.27
216.0,0.6,7.9,0.04,0.26
143.0,0.65,6.4,0.039,0.34
195.0,0.5,6.5,0.042,0.28
85.0,0.51,7.2,0.036,0.21
101.0,0.6,6.4,0.03,0.32
135.0,0.39,6.8,0.032,0.24
91.0,0.4,6.3,0.033,0.23
133.0,0.44,6.5,0.038,0.28
80.0,0.38,5.6,0.031,0.26
91.0,0.4,6.3,0.033,0.23
105.0,0.42,6.3,0.036,0.23
170.0,0.42,5.8,0.045,0.27
139.0,0.53,5.9,0.047,0.26
141.0,0.85,6.6,0.049,0.18
153.0,0.55,7.4,0.045,0.2
129.0,0.54,8.0,0.047,0.24
140.0,0.47,6.4,0.044,0.26
144.0,0.76,5.4,0.053,0.31
145.0,0.75,5.4,0.052,0.29
131.0,0.4,7.1,0.05,0.145
68.0,0.51,5.6,0.031,0.34
155.0,0.44,6.7,0.056,0.19
118.0,0.5,7.8,0.052,0.18
137.0,0.47,7.6,0.054,0.17
146.0,0.74,6.3,0.044,0.12
138.0,0.3,7.3,0.038,0.33
128.0,0.51,5.5,0.071,0.335
138.0,0.3,7.3,0.038,0.33
245.0,0.57,5.8,0.047,0.4
191.0,0.38,7.3,0.063,0.22
191.0,0.38,7.3,0.063,0.22
169.0,0.78,6.1,0.05,0.36
152.0,0.42,10.0,0.05,0.2
161.0,0.59,6.9,0.04,0.24
162.0,0.5,6.4,0.047,0.24
84.0,0.43,7.1,0.055,0.365
127.0,0.39,6.8,0.05,0.15
191.0,0.38,7.3,0.063,0.22
102.0,0.42,6.8,0.037,0.16
113.0,0.71,6.0,0.028,0.26
143.0,0.62,6.0,0.089,0.18
148.0,0.45,6.9,0.053,0.33
72.0,0.29,7.1,0.044,0.39
148.0,0.45,6.9,0.053,0.33
178.0,0.64,7.7,0.049,0.29
204.0,0.56,6.6,0.048,0.905
149.0,0.51,7.2,0.048,0.27
89.0,0.38,5.1,0.027,0.33
89.0,0.38,5.1,0.027,0.33
119.0,0.51,6.4,0.037,0.31
98.0,0.46,7.3,0.045,0.2
155.0,0.64,5.7,0.049,0.32
119.0,0.51,6.4,0.037,0.31
98.0,0.46,7.3,0.045,0.2
179.0,0.52,7.2,0.046,0.28
157.0,0.53,7.5,0.051,0.35
149.0,0.51,7.2,0.048,0.27
125.0,0.39,6.0,0.027,0.36
89.0,0.38,5.1,0.027,0.33
115.0,0.39,5.0,0.026,0.17
260.0,0.66,6.3,0.04,0.39
140.0,0.46,6.7,0.047,0.21
181.0,0.61,7.0,0.032,0.3
181.0,0.61,7.0,0.032,0.3
66.0,0.46,6.5,0.031,0.36
125.0,0.47,6.1,0.031,0.55
69.0,0.56,7.3,0.021,0.24
163.0,0.44,6.8,0.044,0.37
168.0,0.41,6.8,0.04,0.27
93.0,0.39,8.2,0.031,0.28
107.0,0.5,6.3,0.037,0.2
168.0,0.44,5.9,0.048,0.26
83.0,0.41,6.4,0.032,0.19
107.0,0.5,6.3,0.037,0.2
163.0,0.44,6.8,0.044,0.37
108.0,0.52,6.1,0.069,0.35
252.0,0.56,7.1,0.046,0.27
170.0,0.66,6.8,0.035,0.22
168.0,0.41,6.8,0.04,0.27
99.0,0.39,5.8,0.031,0.28
125.0,0.51,6.9,0.049,0.49
116.0,0.53,6.3,0.044,0.14
93.0,0.39,8.2,0.031,0.28
155.0,0.47,7.2,0.038,0.25
140.0,0.79,7.3,0.04,0.28
85.0,0.5,7.2,0.036,0.19
85.0,0.5,7.2,0.036,0.19
155.0,0.47,7.2,0.038,0.25
140.0,0.79,7.3,0.04,0.28
99.0,0.33,7.4,0.041,0.21
210.0,0.47,6.8,0.047,0.26
99.0,0.33,7.4,0.041,0.21
137.0,0.56,7.4,0.05,0.31
136.0,0.37,7.0,0.03,0.22
222.0,0.54,7.0,0.045,0.21
221.0,0.54,7.0,0.045,0.21
221.0,0.54,7.0,0.045,0.21
162.0,0.52,6.9,0.047,0.23
222.0,0.54,7.0,0.045,0.21
221.0,0.54,7.0,0.045,0.21
194.0,0.45,6.8,0.053,0.29
89.0,0.46,7.8,0.051,0.21
197.0,0.49,7.1,0.056,0.31
194.0,0.45,6.8,0.053,0.29
84.0,0.38,6.4,0.048,0.34
214.0,0.61,7.4,0.045,0.155
151.0,0.57,7.2,0.108,0.55
104.0,0.47,7.0,0.028,0.23
97.0,0.49,6.9,0.027,0.2
218.5,0.6,6.1,0.042,0.28
186.0,0.64,6.6,0.035,0.16
108.0,0.54,6.2,0.06,0.35
137.0,0.69,6.1,0.033,0.38
126.0,0.65,6.0,0.026,0.25
245.0,0.54,6.6,0.048,0.52
139.0,0.33,6.9,0.031,0.24
66.0,0.4,7.1,0.038,0.32
156.0,0.42,5.8,0.054,0.28
113.0,0.53,6.5,0.048,0.41
113.0,0.53,6.5,0.048,0.41
127.0,0.56,6.4,0.052,0.28
174.0,0.54,7.2,0.07,0.6
128.0,0.44,6.1,0.038,0.2
160.0,0.51,5.9,0.042,0.46
113.0,0.51,6.0,0.046,0.27
127.0,0.56,6.4,0.052,0.28
113.0,0.53,6.4,0.048,0.41
82.0,0.4,6.3,0.022,0.23
111.0,0.52,7.1,0.056,0.21
218.5,0.72,6.0,0.053,0.37
249.0,0.5,6.1,0.059,0.43
111.0,0.52,7.1,0.056,0.21
171.0,0.45,7.0,0.047,0.25
162.0,0.38,5.9,0.047,0.25
68.0,0.39,6.8,0.044,0.32
178.0,0.5,7.2,0.047,0.39
126.0,0.46,6.3,0.081,0.21
141.0,0.43,7.0,0.039,0.14
68.0,0.39,6.8,0.044,0.32
178.0,0.5,7.2,0.047,0.39
182.0,0.52,7.2,0.047,0.29
158.0,0.73,8.6,0.039,0.37
200.0,0.76,6.5,0.036,0.38
86.0,0.45,6.6,0.023,0.24
132.0,0.48,7.0,0.034,0.17
102.0,0.36,5.5,0.03,0.16
227.0,0.61,7.0,0.029,0.24
105.0,0.39,7.4,0.028,0.28
115.0,0.55,7.0,0.037,0.22
165.0,0.58,7.1,0.073,0.55
164.0,0.56,6.3,0.041,0.22
172.0,0.6,6.7,0.043,0.47
104.0,0.51,5.9,0.047,0.36
137.0,0.42,5.8,0.044,0.25
172.0,0.6,6.7,0.043,0.47
200.0,0.58,6.2,0.346,0.37
117.0,0.54,6.2,0.028,0.18
117.0,0.51,6.0,0.025,0.16
90.0,0.42,6.6,0.035,0.34
180.0,0.68,7.4,0.045,0.29
177.0,0.45,7.4,0.047,0.26
70.0,0.46,7.0,0.035,0.28
65.0,0.4,7.1,0.032,0.23
182.0,0.46,7.8,0.039,0.19
158.0,0.64,6.3,0.022,0.19
103.0,0.58,6.8,0.04,0.2
173.0,0.48,5.7,0.025,0.44
189.0,0.49,7.2,0.041,0.4
147.0,0.54,6.8,0.026,0.23
174.0,0.66,5.7,0.04,0.335
189.0,0.49,7.2,0.041,0.4
200.0,0.49,7.2,0.045,0.28
164.0,0.48,6.8,0.038,0.19
210.0,0.62,6.4,0.038,0.3
210.0,0.62,6.5,0.037,0.3
140.0,0.53,7.8,0.053,0.18
140.0,0.53,7.8,0.053,0.18
135.0,0.52,7.3,0.09,0.51
170.0,0.54,6.0,0.048,0.24
152.0,0.44,5.9,0.039,0.62
170.0,0.54,6.0,0.048,0.24
138.0,0.42,6.7,0.041,0.27
167.0,0.41,7.8,0.042,0.34
141.0,0.59,7.3,0.04,0.26
55.0,0.33,7.4,0.025,0.36
115.0,0.39,7.8,0.036,0.28
167.0,0.47,6.1,0.051,0.31
154.0,0.45,6.8,0.055,0.18
154.0,0.6,7.4,0.045,0.15
41.0,0.4,7.2,0.048,0.34
143.0,0.74,7.9,0.039,0.19
101.0,0.39,6.9,0.038,0.25
96.0,0.38,5.8,0.033,0.36
72.0,0.34,5.6,0.038,0.35
140.0,0.45,5.9,0.114,0.32
29.0,0.53,7.2,0.04,0.31
116.0,0.44,6.1,0.034,0.28
104.0,0.35,5.2,0.031,0.36
112.0,0.45,5.6,0.03,0.19
103.0,0.79,6.4,0.048,0.1
150.0,0.4,6.4,0.186,0.18
178.0,0.48,7.4,0.067,0.25
178.0,0.48,7.4,0.067,0.25
178.0,0.48,7.4,0.067,0.25
171.0,0.51,7.9,0.047,0.345
171.0,0.51,7.9,0.047,0.345
178.0,0.48,7.4,0.067,0.25
61.0,0.54,6.1,0.045,0.24
211.0,0.67,6.8,0.053,0.25
175.0,0.55,6.7,0.04,0.31
192.0,0.42,7.2,0.05,0.46
167.0,0.68,5.5,0.045,0.35
148.0,0.62,6.7,0.036,0.24
162.0,0.51,6.8,0.047,0.28
149.0,0.58,6.4,0.04,0.16
172.0,0.64,6.3,0.039,0.26
87.0,0.49,7.7,0.052,0.22
127.0,0.5,6.5,0.044,0.18
192.0,0.42,7.2,0.05,0.46
168.0,0.52,7.0,0.05,0.3
93.0,0.37,9.2,0.026,0.25
118.0,0.38,7.8,0.028,0.28
168.0,0.52,7.0,0.05,0.3
118.0,0.38,7.8,0.028,0.28
93.0,0.37,9.2,0.026,0.25
160.0,0.65,8.4,0.046,0.35
137.0,0.5,6.1,0.049,0.41
165.0,0.39,5.9,0.044,0.21
144.0,0.76,7.2,0.047,0.34
150.0,0.74,6.7,0.049,0.21
128.0,0.48,5.9,0.057,0.37
184.0,0.63,7.7,0.063,0.34
135.0,0.77,7.4,0.046,0.3
165.0,0.42,6.8,0.066,0.51
99.0,0.47,7.8,0.059,0.22
37.0,0.39,7.2,0.051,0.35
153.0,0.61,6.0,0.048,0.26
154.0,0.6,6.1,0.05,0.26
179.0,0.69,6.5,0.04,0.28
194.0,0.46,7.4,0.051,0.41
107.0,0.41,6.5,0.038,0.28
181.0,0.56,6.7,0.047,0.34
151.0,0.39,7.2,0.032,0.2
138.0,0.44,7.4,0.035,0.2
185.0,0.5,8.2,0.047,0.22
187.0,0.5,8.2,0.047,0.23
153.0,0.38,7.1,0.033,0.22
107.0,0.41,6.5,0.038,0.28
134.0,0.38,6.0,0.034,0.38
194.0,0.46,7.4,0.051,0.41
111.0,0.39,5.7,0.042,0.18
168.0,0.35,7.3,0.056,0.3
81.0,0.36,7.4,0.042,0.24
134.0,0.51,6.6,0.046,0.25
81.0,0.36,7.4,0.042,0.24
157.0,0.48,7.4,0.049,0.26
121.0,0.49,6.9,0.036,0.28
136.0,0.58,7.0,0.04,0.23
148.0,0.44,7.1,0.059,0.31
119.0,0.49,7.3,0.037,0.2
152.0,0.52,6.9,0.043,0.41
131.0,0.28,6.4,0.03,0.45
131.0,0.29,6.4,0.03,0.475
140.0,0.5,6.3,0.051,0.27
152.0,0.52,6.9,0.043,0.41
127.0,0.44,7.0,0.034,0.29
115.0,0.48,5.9,0.036,0.27
55.0,0.68,6.9,0.036,0.19
160.0,0.54,6.7,0.18,0.3
106.0,0.38,7.2,0.045,0.24
131.0,0.28,6.4,0.03,0.45
131.0,0.29,6.4,0.03,0.475
134.0,0.61,6.3,0.052,0.26
134.0,0.61,6.3,0.052,0.26
158.0,0.38,7.3,0.049,0.25
158.0,0.38,7.3,0.049,0.25
161.0,0.48,6.1,0.044,0.28
94.0,0.69,7.4,0.061,0.37
119.0,0.65,6.5,0.037,0.36
95.0,0.39,7.4,0.032,0.24
133.0,0.38,7.5,0.047,0.23
133.0,0.36,7.5,0.045,0.21
133.0,0.36,7.5,0.045,0.21
133.0,0.38,7.5,0.047,0.23
101.0,0.65,7.8,0.037,0.32
195.0,0.5,7.8,0.051,0.26
190.0,0.5,7.7,0.051,0.24
135.0,0.5,7.4,0.057,0.19
222.0,0.58,6.5,0.084,0.46
141.0,0.6,5.3,0.043,0.32
64.0,0.51,7.2,0.045,0.24
128.0,0.55,6.0,0.066,0.36
130.0,0.46,6.2,0.039,0.24
177.0,0.45,7.6,0.096,0.56
228.0,0.62,7.0,0.048,0.32
228.0,0.62,7.0,0.048,0.32
99.0,0.6,5.8,0.036,0.31
144.0,0.42,7.0,0.05,0.23
144.0,0.42,7.0,0.05,0.23
131.0,0.64,6.9,0.04,0.24
187.0,0.42,6.0,0.045,0.29
150.0,0.49,6.1,0.033,0.17
140.0,0.51,5.9,0.027,0.14
133.0,0.46,6.2,0.037,0.17
148.0,0.62,7.4,0.053,0.28
198.0,0.71,5.6,0.046,0.35
197.0,0.71,5.8,0.046,0.335
127.0,0.5,5.6,0.047,0.235
189.0,0.43,6.1,0.054,0.28
179.0,0.5,6.3,0.046,0.21
163.0,0.45,6.4,0.05,0.24
166.0,0.45,6.4,0.051,0.24
166.0,0.41,6.3,0.058,0.26
151.0,0.57,6.5,0.061,0.33
146.0,0.37,7.4,0.05,0.105
190.0,0.72,6.0,0.041,0.32
189.0,0.53,7.1,0.067,0.26
189.0,0.53,7.1,0.067,0.26
189.0,0.53,7.1,0.067,0.26
189.0,0.53,7.1,0.067,0.26
134.0,0.45,5.9,0.053,0.24
138.0,0.75,6.5,0.048,0.21
117.0,0.42,7.7,0.03,0.27
95.0,0.4,9.0,0.028,0.27
136.0,0.44,7.3,0.05,0.34
188.0,0.4,6.6,0.052,0.27
234.5,0.47,6.8,0.038,0.29
86.0,0.38,7.1,0.049,0.28
133.0,0.5,6.8,0.032,0.25
188.0,0.47,7.0,0.094,0.57
86.0,0.38,7.1,0.049,0.28
182.0,0.52,7.1,0.052,0.17
130.0,0.48,7.8,0.056,0.28
195.0,0.72,6.8,0.036,0.22
182.0,0.52,7.1,0.052,0.17
173.0,0.46,6.1,0.047,0.14
211.0,0.57,6.4,0.047,0.24
199.0,0.55,7.8,0.058,0.42
101.0,0.57,6.6,0.038,0.28
150.0,0.5,7.1,0.039,0.32
130.0,0.63,6.7,0.038,0.31
206.0,0.6,6.4,0.047,0.32
201.0,0.4,6.1,0.056,0.28
224.0,0.41,5.9,0.057,0.29
94.0,0.42,5.8,0.033,0.32
94.0,0.42,5.8,0.033,0.32
94.0,0.42,5.7,0.033,0.32
159.0,0.39,6.7,0.043,0.28
171.0,0.47,6.8,0.058,0.34
165.0,0.44,5.9,0.052,0.25
174.0,0.48,6.4,0.24,0.27
183.0,0.42,8.1,0.052,0.46
201.0,0.46,6.2,0.051,0.36
114.0,0.53,6.8,0.043,0.22
193.0,0.67,6.8,0.29,0.67
222.0,0.5,7.2,0.044,0.28
125.0,0.6,6.7,0.039,0.17
136.0,0.6,6.9,0.043,0.2
198.0,0.62,6.1,0.037,0.36
191.0,0.62,6.0,0.036,0.36
185.0,0.63,5.9,0.036,0.37
225.0,0.66,7.6,0.041,0.29
198.0,0.46,6.3,0.047,0.34
94.0,0.57,6.7,0.022,0.19
204.0,0.6,7.5,0.039,0.31
204.0,0.59,7.4,0.042,0.31
197.0,0.64,8.4,0.042,0.4
135.0,0.78,5.9,0.03,0.34
84.0,0.45,6.6,0.042,0.38
110.0,0.42,6.4,0.038,0.33
115.0,0.5,5.6,0.037,0.25
41.0,0.34,8.6,0.032,0.27
218.0,0.6,6.2,0.041,0.31
166.0,0.62,7.2,0.046,0.18
130.0,0.48,7.7,0.05,0.2
98.0,0.46,6.2,0.044,0.47
172.0,0.45,6.1,0.046,0.25
128.0,0.5,8.2,0.035,0.27
128.0,0.5,8.2,0.035,0.27
213.0,0.43,6.4,0.04,0.31
187.0,0.5,6.0,0.038,0.39
