total sulfur dioxide,sulphates,fixed acidity,chlorides,volatile acidity,type_encoded
97.0,0.36,6.4,0.058,0.595,1
80.0,0.58,6.3,0.034,0.34,1
116.0,0.38,6.9,0.054,0.25,1
152.0,0.32,7.9,0.043,0.22,1
135.0,0.43,7.6,0.055,0.18,1
116.0,0.38,6.9,0.054,0.25,1
97.0,0.45,7.2,0.048,0.18,1
76.0,0.84,8.2,0.049,0.23,1
198.0,0.42,7.4,0.066,0.24,1
198.0,0.42,7.4,0.066,0.24,1
124.0,0.42,6.1,0.036,0.32,1
119.0,0.33,5.2,0.036,0.44,1
119.0,0.33,5.2,0.036,0.44,1
124.0,0.42,6.1,0.036,0.32,1
159.0,0.4,6.4,0.055,0.22,1
85.0,0.39,6.3,0.049,0.36,1
198.0,0.42,7.4,0.066,0.24,1
205.0,0.5,6.7,0.05,0.24,1
177.0,0.49,7.0,0.051,0.23,1
197.0,0.59,8.4,0.048,0.27,1
98.0,0.44,6.7,0.034,0.46,1
151.0,0.54,7.5,0.055,0.29,1
110.0,0.29,9.8,0.034,0.42,1
133.0,0.54,7.1,0.066,0.3,1
96.0,0.39,7.9,0.045,0.19,1
100.0,0.39,7.6,0.037,0.48,1
130.0,0.33,6.3,0.038,0.22,1
151.0,0.27,6.9,0.04,0.23,1
65.0,0.41,7.2,0.044,0.32,1
170.0,0.39,5.9,0.054,0.23,1
108.0,0.35,6.0,0.06,0.67,1
176.0,0.68,6.4,0.049,0.25,1
173.0,0.66,6.4,0.048,0.33,1
183.0,0.43,7.1,0.053,0.34,1
167.0,0.5,6.8,0.048,0.28,1
227.0,0.58,6.9,0.05,0.27,1
226.0,0.63,6.8,0.043,0.26,1
230.0,0.63,6.8,0.043,0.29,1
166.0,0.61,6.7,0.04,0.24,1
119.0,0.5,5.9,0.038,0.3,1
109.0,0.57,6.8,0.034,0.53,1
210.0,0.54,6.5,0.047,0.28,1
211.0,0.55,6.6,0.052,0.28,1
167.0,0.5,6.8,0.048,0.28,1
123.0,0.37,6.8,0.045,0.28,1
125.0,0.42,6.6,0.055,0.15,1
181.0,0.41,6.4,0.2,0.29,1
180.0,0.39,6.4,0.197,0.3,1
183.0,0.38,6.4,0.197,0.29,1
214.0,0.47,6.8,0.052,0.26,1
204.0,0.49,7.1,0.05,0.32,1
214.0,0.47,6.8,0.052,0.26,1
196.0,0.5,6.8,0.049,0.27,1
204.0,0.49,7.1,0.05,0.32,1
236.0,0.5,6.9,0.05,0.54,1
134.0,0.53,6.8,0.034,0.26,1
114.0,0.5,5.8,0.053,0.28,1
153.0,0.43,6.4,0.042,0.21,1
126.0,0.34,7.0,0.045,0.16,1
124.0,0.51,10.2,0.049,0.44,1
77.0,0.74,6.8,0.04,0.57,1
170.0,0.77,6.1,0.048,0.4,1
68.0,0.34,5.6,0.032,0.245,1
111.0,0.59,6.8,0.038,0.18,1
126.0,0.34,7.0,0.045,0.16,1
122.0,0.37,6.7,0.051,0.13,1
105.0,0.44,6.2,0.03,0.25,1
152.0,0.38,5.8,0.044,0.26,1
164.0,0.33,7.5,0.036,0.27,1
152.0,0.38,5.8,0.044,0.26,1
167.0,0.44,5.7,0.044,0.28,1
161.0,0.32,7.5,0.036,0.23,1
164.0,0.33,7.5,0.036,0.27,1
172.0,0.55,7.2,0.07,0.685,1
105.0,0.44,6.2,0.03,0.25,1
144.0,0.39,6.5,0.043,0.19,1
145.0,0.39,7.1,0.046,0.24,1
200.0,0.5,6.4,0.048,0.17,1
272.0,0.52,7.1,0.041,0.25,1
200.0,0.5,6.4,0.048,0.17,1
145.0,0.39,7.1,0.046,0.24,1
142.0,0.46,6.8,0.062,0.64,1
194.0,0.51,8.3,0.041,0.28,1
208.0,0.51,8.2,0.039,0.27,1
194.0,0.44,7.2,0.058,0.23,1
194.0,0.44,7.2,0.058,0.23,1
194.0,0.44,7.2,0.058,0.23,1
194.0,0.44,7.2,0.058,0.23,1
221.0,0.5,6.8,0.044,0.52,1
120.0,0.41,7.0,0.037,0.26,1
159.0,0.64,6.2,0.039,0.25,1
197.0,0.46,7.3,0.05,0.32,1
90.0,0.5,7.7,0.031,0.31,1
100.0,0.38,7.1,0.026,0.21,1
218.5,0.58,6.8,0.047,0.24,1
142.0,0.46,6.9,0.043,0.4,1
249.5,0.79,6.1,0.038,0.18,1
139.0,0.61,6.8,0.03,0.21,1
77.0,0.36,5.8,0.031,0.2,1
76.0,0.37,5.6,0.03,0.19,1
199.0,0.7,5.9,0.053,0.21,1
197.0,0.5,8.5,0.074,0.26,1
142.0,0.46,6.9,0.043,0.4,1
109.0,0.43,5.8,0.029,0.24,1
158.0,0.52,5.8,0.054,0.24,1
147.0,0.58,6.7,0.04,0.26,1
97.0,0.41,6.3,0.035,0.35,1
97.0,0.41,6.3,0.035,0.35,1
118.0,0.5,6.4,0.032,0.23,1
75.0,0.34,5.8,0.037,0.36,1
108.0,0.42,6.9,0.048,0.115,1
156.0,0.47,6.9,0.043,0.29,1
95.0,0.33,6.9,0.036,0.28,1
231.0,0.59,7.2,0.045,0.29,1
167.0,0.48,6.2,0.038,0.24,1
156.0,0.47,6.9,0.043,0.29,1
180.0,0.51,6.9,0.053,0.32,1
147.0,0.57,5.4,0.045,0.59,1
180.0,0.51,6.9,0.053,0.32,1
147.0,0.58,5.2,0.044,0.6,1
148.0,0.38,5.8,0.051,0.25,1
123.0,0.38,6.6,0.057,0.58,1
234.0,0.61,7.0,0.046,0.29,1
169.0,0.57,6.6,0.046,0.19,1
166.0,0.58,6.7,0.044,0.2,1
60.0,0.5,7.7,0.042,0.26,1
67.0,0.47,6.8,0.044,0.32,1
105.0,0.68,7.0,0.036,0.3,1
112.0,0.38,7.0,0.034,0.24,1
114.0,0.6,6.1,0.039,0.31,1
201.0,0.65,6.8,0.047,0.44,1
196.0,0.49,6.7,0.054,0.34,1
198.0,0.49,7.1,0.055,0.35,1
180.0,0.47,7.3,0.056,0.32,1
190.0,0.51,6.5,0.053,0.28,1
192.0,0.48,7.2,0.058,0.23,1
192.0,0.48,7.2,0.058,0.23,1
192.0,0.48,7.2,0.058,0.23,1
192.0,0.48,7.2,0.058,0.23,1
155.0,0.46,5.9,0.041,0.15,1
195.0,0.44,7.4,0.066,0.28,1
157.0,0.64,6.2,0.041,0.28,1
182.0,0.38,9.1,0.066,0.59,1
175.0,0.54,6.3,0.046,0.33,1
169.0,0.57,8.3,0.045,0.39,1
187.0,0.6,7.2,0.041,0.19,1
146.0,0.45,7.5,0.046,0.17,1
122.0,0.45,6.7,0.043,0.17,1
87.0,0.67,6.1,0.063,0.41,1
74.0,0.38,8.3,0.05,0.2,1
87.0,0.67,6.1,0.063,0.41,1
168.0,0.43,6.0,0.055,0.29,1
163.0,0.41,7.3,0.057,0.41,1
163.0,0.41,7.3,0.057,0.41,1
163.0,0.41,7.2,0.058,0.43,1
166.0,0.41,7.3,0.058,0.4,1
134.0,0.42,6.2,0.036,0.33,1
148.0,0.41,6.2,0.037,0.31,1
100.0,0.71,6.1,0.035,0.36,1
164.0,0.51,5.0,0.032,0.55,1
149.0,0.45,7.8,0.042,0.25,1
166.0,0.63,5.7,0.038,0.36,1
167.0,0.62,5.8,0.04,0.34,1
127.0,0.44,6.8,0.132,0.28,1
134.0,0.38,6.8,0.031,0.25,1
135.0,0.37,6.6,0.031,0.24,1
133.0,0.43,5.9,0.03,0.3,1
69.0,0.59,6.1,0.04,0.125,1
65.0,0.61,6.0,0.041,0.1,1
135.0,0.37,6.6,0.031,0.24,1
134.0,0.38,6.8,0.031,0.25,1
137.0,0.36,6.8,0.031,0.28,1
207.0,0.55,8.3,0.046,0.41,1
313.0,0.59,7.5,0.057,0.27,1
216.0,0.6,7.9,0.04,0.26,1
143.0,0.65,6.4,0.039,0.34,1
195.0,0.5,6.5,0.042,0.28,1
85.0,0.51,7.2,0.036,0.21,1
101.0,0.6,6.4,0.03,0.32,1
135.0,0.39,6.8,0.032,0.24,1
91.0,0.4,6.3,0.033,0.23,1
133.0,0.44,6.5,0.038,0.28,1
80.0,0.38,5.6,0.031,0.26,1
91.0,0.4,6.3,0.033,0.23,1
105.0,0.42,6.3,0.036,0.23,1
170.0,0.42,5.8,0.045,0.27,1
139.0,0.53,5.9,0.047,0.26,1
141.0,0.85,6.6,0.049,0.18,1
153.0,0.55,7.4,0.045,0.2,1
129.0,0.54,8.0,0.047,0.24,1
140.0,0.47,6.4,0.044,0.26,1
144.0,0.76,5.4,0.053,0.31,1
145.0,0.75,5.4,0.052,0.29,1
131.0,0.4,7.1,0.05,0.145,1
68.0,0.51,5.6,0.031,0.34,1
155.0,0.44,6.7,0.056,0.19,1
118.0,0.5,7.8,0.052,0.18,1
137.0,0.47,7.6,0.054,0.17,1
146.0,0.74,6.3,0.044,0.12,1
138.0,0.3,7.3,0.038,0.33,1
128.0,0.51,5.5,0.071,0.335,1
138.0,0.3,7.3,0.038,0.33,1
245.0,0.57,5.8,0.047,0.4,1
191.0,0.38,7.3,0.063,0.22,1
191.0,0.38,7.3,0.063,0.22,1
169.0,0.78,6.1,0.05,0.36,1
152.0,0.42,10.0,0.05,0.2,1
161.0,0.59,6.9,0.04,0.24,1
162.0,0.5,6.4,0.047,0.24,1
84.0,0.43,7.1,0.055,0.365,1
127.0,0.39,6.8,0.05,0.15,1
191.0,0.38,7.3,0.063,0.22,1
102.0,0.42,6.8,0.037,0.16,1
113.0,0.71,6.0,0.028,0.26,1
143.0,0.62,6.0,0.089,0.18,1
148.0,0.45,6.9,0.053,0.33,1
72.0,0.29,7.1,0.044,0.39,1
148.0,0.45,6.9,0.053,0.33,1
178.0,0.64,7.7,0.049,0.29,1
204.0,0.56,6.6,0.048,0.905,1
149.0,0.51,7.2,0.048,0.27,1
89.0,0.38,5.1,0.027,0.33,1
89.0,0.38,5.1,0.027,0.33,1
119.0,0.51,6.4,0.037,0.31,1
98.0,0.46,7.3,0.045,0.2,1
155.0,0.64,5.7,0.049,0.32,1
119.0,0.51,6.4,0.037,0.31,1
98.0,0.46,7.3,0.045,0.2,1
179.0,0.52,7.2,0.046,0.28,1
157.0,0.53,7.5,0.051,0.35,1
149.0,0.51,7.2,0.048,0.27,1
125.0,0.39,6.0,0.027,0.36,1
89.0,0.38,5.1,0.027,0.33,1
115.0,0.39,5.0,0.026,0.17,1
260.0,0.66,6.3,0.04,0.39,1
140.0,0.46,6.7,0.047,0.21,1
181.0,0.61,7.0,0.032,0.3,1
181.0,0.61,7.0,0.032,0.3,1
66.0,0.46,6.5,0.031,0.36,1
125.0,0.47,6.1,0.031,0.55,1
69.0,0.56,7.3,0.021,0.24,1
163.0,0.44,6.8,0.044,0.37,1
168.0,0.41,6.8,0.04,0.27,1
93.0,0.39,8.2,0.031,0.28,1
107.0,0.5,6.3,0.037,0.2,1
168.0,0.44,5.9,0.048,0.26,1
83.0,0.41,6.4,0.032,0.19,1
107.0,0.5,6.3,0.037,0.2,1
163.0,0.44,6.8,0.044,0.37,1
108.0,0.52,6.1,0.069,0.35,1
252.0,0.56,7.1,0.046,0.27,1
170.0,0.66,6.8,0.035,0.22,1
168.0,0.41,6.8,0.04,0.27,1
99.0,0.39,5.8,0.031,0.28,1
125.0,0.51,6.9,0.049,0.49,1
116.0,0.53,6.3,0.044,0.14,1
93.0,0.39,8.2,0.031,0.28,1
155.0,0.47,7.2,0.038,0.25,1
140.0,0.79,7.3,0.04,0.28,1
85.0,0.5,7.2,0.036,0.19,1
85.0,0.5,7.2,0.036,0.19,1
155.0,0.47,7.2,0.038,0.25,1
140.0,0.79,7.3,0.04,0.28,1
99.0,0.33,7.4,0.041,0.21,1
210.0,0.47,6.8,0.047,0.26,1
99.0,0.33,7.4,0.041,0.21,1
137.0,0.56,7.4,0.05,0.31,1
136.0,0.37,7.0,0.03,0.22,1
222.0,0.54,7.0,0.045,0.21,1
221.0,0.54,7.0,0.045,0.21,1
221.0,0.54,7.0,0.045,0.21,1
162.0,0.52,6.9,0.047,0.23,1
222.0,0.54,7.0,0.045,0.21,1
221.0,0.54,7.0,0.045,0.21,1
194.0,0.45,6.8,0.053,0.29,1
89.0,0.46,7.8,0.051,0.21,1
197.0,0.49,7.1,0.056,0.31,1
194.0,0.45,6.8,0.053,0.29,1
84.0,0.38,6.4,0.048,0.34,1
214.0,0.61,7.4,0.045,0.155,1
151.0,0.57,7.2,0.108,0.55,1
104.0,0.47,7.0,0.028,0.23,1
97.0,0.49,6.9,0.027,0.2,1
218.5,0.6,6.1,0.042,0.28,1
186.0,0.64,6.6,0.035,0.16,1
108.0,0.54,6.2,0.06,0.35,1
137.0,0.69,6.1,0.033,0.38,1
126.0,0.65,6.0,0.026,0.25,1
245.0,0.54,6.6,0.048,0.52,1
139.0,0.33,6.9,0.031,0.24,1
66.0,0.4,7.1,0.038,0.32,1
156.0,0.42,5.8,0.054,0.28,1
113.0,0.53,6.5,0.048,0.41,1
113.0,0.53,6.5,0.048,0.41,1
127.0,0.56,6.4,0.052,0.28,1
174.0,0.54,7.2,0.07,0.6,1
128.0,0.44,6.1,0.038,0.2,1
160.0,0.51,5.9,0.042,0.46,1
113.0,0.51,6.0,0.046,0.27,1
127.0,0.56,6.4,0.052,0.28,1
113.0,0.53,6.4,0.048,0.41,1
82.0,0.4,6.3,0.022,0.23,1
111.0,0.52,7.1,0.056,0.21,1
218.5,0.72,6.0,0.053,0.37,1
249.0,0.5,6.1,0.059,0.43,1
111.0,0.52,7.1,0.056,0.21,1
171.0,0.45,7.0,0.047,0.25,1
162.0,0.38,5.9,0.047,0.25,1
68.0,0.39,6.8,0.044,0.32,1
178.0,0.5,7.2,0.047,0.39,1
126.0,0.46,6.3,0.081,0.21,1
141.0,0.43,7.0,0.039,0.14,1
68.0,0.39,6.8,0.044,0.32,1
178.0,0.5,7.2,0.047,0.39,1
182.0,0.52,7.2,0.047,0.29,1
158.0,0.73,8.6,0.039,0.37,1
200.0,0.76,6.5,0.036,0.38,1
86.0,0.45,6.6,0.023,0.24,1
132.0,0.48,7.0,0.034,0.17,1
102.0,0.36,5.5,0.03,0.16,1
227.0,0.61,7.0,0.029,0.24,1
105.0,0.39,7.4,0.028,0.28,1
115.0,0.55,7.0,0.037,0.22,1
165.0,0.58,7.1,0.073,0.55,1
164.0,0.56,6.3,0.041,0.22,1
172.0,0.6,6.7,0.043,0.47,1
104.0,0.51,5.9,0.047,0.36,1
137.0,0.42,5.8,0.044,0.25,1
172.0,0.6,6.7,0.043,0.47,1
200.0,0.58,6.2,0.346,0.37,1
117.0,0.54,6.2,0.028,0.18,1
117.0,0.51,6.0,0.025,0.16,1
90.0,0.42,6.6,0.035,0.34,1
180.0,0.68,7.4,0.045,0.29,1
177.0,0.45,7.4,0.047,0.26,1
70.0,0.46,7.0,0.035,0.28,1
65.0,0.4,7.1,0.032,0.23,1
182.0,0.46,7.8,0.039,0.19,1
158.0,0.64,6.3,0.022,0.19,1
103.0,0.58,6.8,0.04,0.2,1
173.0,0.48,5.7,0.025,0.44,1
189.0,0.49,7.2,0.041,0.4,1
147.0,0.54,6.8,0.026,0.23,1
174.0,0.66,5.7,0.04,0.335,1
189.0,0.49,7.2,0.041,0.4,1
200.0,0.49,7.2,0.045,0.28,1
164.0,0.48,6.8,0.038,0.19,1
210.0,0.62,6.4,0.038,0.3,1
210.0,0.62,6.5,0.037,0.3,1
140.0,0.53,7.8,0.053,0.18,1
140.0,0.53,7.8,0.053,0.18,1
135.0,0.52,7.3,0.09,0.51,1
170.0,0.54,6.0,0.048,0.24,1
152.0,0.44,5.9,0.039,0.62,1
170.0,0.54,6.0,0.048,0.24,1
138.0,0.42,6.7,0.041,0.27,1
167.0,0.41,7.8,0.042,0.34,1
141.0,0.59,7.3,0.04,0.26,1
55.0,0.33,7.4,0.025,0.36,1
115.0,0.39,7.8,0.036,0.28,1
167.0,0.47,6.1,0.051,0.31,1
154.0,0.45,6.8,0.055,0.18,1
154.0,0.6,7.4,0.045,0.15,1
41.0,0.4,7.2,0.048,0.34,1
143.0,0.74,7.9,0.039,0.19,1
101.0,0.39,6.9,0.038,0.25,1
96.0,0.38,5.8,0.033,0.36,1
72.0,0.34,5.6,0.038,0.35,1
140.0,0.45,5.9,0.114,0.32,1
29.0,0.53,7.2,0.04,0.31,1
116.0,0.44,6.1,0.034,0.28,1
104.0,0.35,5.2,0.031,0.36,1
112.0,0.45,5.6,0.03,0.19,1
103.0,0.79,6.4,0.048,0.1,1
150.0,0.4,6.4,0.186,0.18,1
178.0,0.48,7.4,0.067,0.25,1
178.0,0.48,7.4,0.067,0.25,1
178.0,0.48,7.4,0.067,0.25,1
171.0,0.51,7.9,0.047,0.345,1
171.0,0.51,7.9,0.047,0.345,1
178.0,0.48,7.4,0.067,0.25,1
61.0,0.54,6.1,0.045,0.24,1
211.0,0.67,6.8,0.053,0.25,1
175.0,0.55,6.7,0.04,0.31,1
192.0,0.42,7.2,0.05,0.46,1
167.0,0.68,5.5,0.045,0.35,1
148.0,0.62,6.7,0.036,0.24,1
162.0,0.51,6.8,0.047,0.28,1
149.0,0.58,6.4,0.04,0.16,1
172.0,0.64,6.3,0.039,0.26,1
87.0,0.49,7.7,0.052,0.22,1
127.0,0.5,6.5,0.044,0.18,1
192.0,0.42,7.2,0.05,0.46,1
168.0,0.52,7.0,0.05,0.3,1
93.0,0.37,9.2,0.026,0.25,1
118.0,0.38,7.8,0.028,0.28,1
168.0,0.52,7.0,0.05,0.3,1
118.0,0.38,7.8,0.028,0.28,1
93.0,0.37,9.2,0.026,0.25,1
160.0,0.65,8.4,0.046,0.35,1
137.0,0.5,6.1,0.049,0.41,1
165.0,0.39,5.9,0.044,0.21,1
144.0,0.76,7.2,0.047,0.34,1
150.0,0.74,6.7,0.049,0.21,1
128.0,0.48,5.9,0.057,0.37,1
184.0,0.63,7.7,0.063,0.34,1
135.0,0.77,7.4,0.046,0.3,1
165.0,0.42,6.8,0.066,0.51,1
99.0,0.47,7.8,0.059,0.22,1
37.0,0.39,7.2,0.051,0.35,1
153.0,0.61,6.0,0.048,0.26,1
154.0,0.6,6.1,0.05,0.26,1
179.0,0.69,6.5,0.04,0.28,1
194.0,0.46,7.4,0.051,0.41,1
107.0,0.41,6.5,0.038,0.28,1
181.0,0.56,6.7,0.047,0.34,1
151.0,0.39,7.2,0.032,0.2,1
138.0,0.44,7.4,0.035,0.2,1
185.0,0.5,8.2,0.047,0.22,1
187.0,0.5,8.2,0.047,0.23,1
153.0,0.38,7.1,0.033,0.22,1
107.0,0.41,6.5,0.038,0.28,1
134.0,0.38,6.0,0.034,0.38,1
194.0,0.46,7.4,0.051,0.41,1
111.0,0.39,5.7,0.042,0.18,1
168.0,0.35,7.3,0.056,0.3,1
81.0,0.36,7.4,0.042,0.24,1
134.0,0.51,6.6,0.046,0.25,1
81.0,0.36,7.4,0.042,0.24,1
157.0,0.48,7.4,0.049,0.26,1
121.0,0.49,6.9,0.036,0.28,1
136.0,0.58,7.0,0.04,0.23,1
148.0,0.44,7.1,0.059,0.31,1
119.0,0.49,7.3,0.037,0.2,1
152.0,0.52,6.9,0.043,0.41,1
131.0,0.28,6.4,0.03,0.45,1
131.0,0.29,6.4,0.03,0.475,1
140.0,0.5,6.3,0.051,0.27,1
152.0,0.52,6.9,0.043,0.41,1
127.0,0.44,7.0,0.034,0.29,1
115.0,0.48,5.9,0.036,0.27,1
55.0,0.68,6.9,0.036,0.19,1
160.0,0.54,6.7,0.18,0.3,1
106.0,0.38,7.2,0.045,0.24,1
131.0,0.28,6.4,0.03,0.45,1
131.0,0.29,6.4,0.03,0.475,1
134.0,0.61,6.3,0.052,0.26,1
134.0,0.61,6.3,0.052,0.26,1
158.0,0.38,7.3,0.049,0.25,1
158.0,0.38,7.3,0.049,0.25,1
161.0,0.48,6.1,0.044,0.28,1
94.0,0.69,7.4,0.061,0.37,1
119.0,0.65,6.5,0.037,0.36,1
95.0,0.39,7.4,0.032,0.24,1
133.0,0.38,7.5,0.047,0.23,1
133.0,0.36,7.5,0.045,0.21,1
133.0,0.36,7.5,0.045,0.21,1
133.0,0.38,7.5,0.047,0.23,1
101.0,0.65,7.8,0.037,0.32,1
195.0,0.5,7.8,0.051,0.26,1
190.0,0.5,7.7,0.051,0.24,1
135.0,0.5,7.4,0.057,0.19,1
222.0,0.58,6.5,0.084,0.46,1
141.0,0.6,5.3,0.043,0.32,1
64.0,0.51,7.2,0.045,0.24,1
128.0,0.55,6.0,0.066,0.36,1
130.0,0.46,6.2,0.039,0.24,1
177.0,0.45,7.6,0.096,0.56,1
228.0,0.62,7.0,0.048,0.32,1
228.0,0.62,7.0,0.048,0.32,1
99.0,0.6,5.8,0.036,0.31,1
144.0,0.42,7.0,0.05,0.23,1
144.0,0.42,7.0,0.05,0.23,1
131.0,0.64,6.9,0.04,0.24,1
187.0,0.42,6.0,0.045,0.29,1
150.0,0.49,6.1,0.033,0.17,1
140.0,0.51,5.9,0.027,0.14,1
133.0,0.46,6.2,0.037,0.17,1
148.0,0.62,7.4,0.053,0.28,1
198.0,0.71,5.6,0.046,0.35,1
197.0,0.71,5.8,0.046,0.335,1
127.0,0.5,5.6,0.047,0.235,1
189.0,0.43,6.1,0.054,0.28,1
179.0,0.5,6.3,0.046,0.21,1
163.0,0.45,6.4,0.05,0.24,1
166.0,0.45,6.4,0.051,0.24,1
166.0,0.41,6.3,0.058,0.26,1
151.0,0.57,6.5,0.061,0.33,1
146.0,0.37,7.4,0.05,0.105,1
190.0,0.72,6.0,0.041,0.32,1
189.0,0.53,7.1,0.067,0.26,1
